Product Name,Unit Cost,Selling Price,Current Stock,Category,Warehouse,Min Stock,Max Stock
Wireless Mouse,577.29,669.66,145,Electronics,East Coast,2,614
Mechanical Keyboard,664.14,943.53,461,Electronics,South,5,544
USB-C Hub,382.62,444.57,116,Electronics,South,2,758
Webcam HD,28.75,35.35,337,Electronics,East Coast,5,714
Bluetooth Speaker,407.04,513.39,450,Electronics,East Coast,1,888
Portable Charger,629.83,810.02,84,Electronics,West Coast,2,890
HDMI Cable,96.48,125.61,188,Electronics,West Coast,3,809
SSD 1TB,727.38,1048.8,279,Electronics,Primary,1,693
RAM 16GB Module,499.08,739.52,321,Electronics,East Coast,3,795
Graphics Card RTX,635.59,742.58,121,Electronics,East Coast,3,540
CPU Processor,780.5,1016.25,237,Electronics,West Coast,3,583
Motherboard ATX,322.97,457.99,364,Electronics,International,1,811
Power Supply 750W,158.17,228.03,88,Electronics,West Coast,4,694
PC Case Mid-Tower,890.62,1252.21,290,Electronics,West Coast,2,850
Monitor 27 4K,759.35,1108.95,122,Electronics,Midwest,1,661
Laptop Stand Aluminum,244.63,301.97,487,Electronics,West Coast,5,867
Noise Cancelling Headphones,195.3,263.59,457,Electronics,West Coast,4,573
Smart Watch Pro,129.97,188.2,280,Electronics,South,3,882
Fitness Tracker Band,388.45,537.39,190,Electronics,South,2,570
Wireless Earbuds,446.7,648.75,445,Electronics,International,1,578
Tablet 10 inch,148.18,210.74,310,Electronics,Midwest,1,697
E-Reader Paperwhite,538.32,719.85,133,Electronics,International,5,505
Smart Plug WiFi,650.05,924.82,279,Electronics,International,3,893
WiFi Router AX,309.46,392.21,85,Electronics,International,4,501
Network Switch 8-Port,788.89,990.34,261,Electronics,Primary,2,759
External HDD 2TB,784.11,995.33,332,Electronics,East Coast,5,811
Flash Drive 128GB,141.79,206.31,281,Electronics,South,5,500
Memory Card 256GB,295.12,341.69,480,Electronics,East Coast,3,657
Desk Lamp LED,56.84,85.33,489,Electronics,International,1,543
Phone Charger 65W,439.96,518.13,394,Electronics,East Coast,5,892
Screen Protector Glass,119.91,160.69,286,Electronics,South,2,635
Phone Case Silicone,785.83,1036.71,113,Electronics,International,5,886
Laptop Sleeve 15in,622.43,893.3,209,Electronics,South,3,724
Monitor Arm Single,409.08,511.01,37,Electronics,South,3,510
Keyboard Wrist Rest,500.76,693.74,8,Electronics,International,1,862
Mouse Pad XXL,57.69,67.9,21,Electronics,South,3,536
Cable Management Kit,218.01,309.05,114,Electronics,International,5,567
Surge Protector 12-Outlet,842.29,1161.03,247,Electronics,Midwest,2,742
UPS Battery 1500VA,175.42,208.53,225,Electronics,Midwest,3,716
USB Microphone,422.99,609.8,349,Electronics,Midwest,1,531
Ring Light 18in,656.75,965.58,60,Electronics,East Coast,2,598
Green Screen 5x7ft,484.98,584.92,98,Electronics,East Coast,3,736
Streaming Deck MK2,787.66,929.56,418,Electronics,Primary,5,550
Capture Card 4K,588.67,804.26,12,Electronics,East Coast,1,885
Drone Camera Pro,153.85,206.81,114,Electronics,East Coast,4,530
Action Camera 4K,344.18,531.46,140,Electronics,Midwest,4,646
Digital Camera Mirrorless,628.45,906.35,406,Electronics,International,5,838
Camera Lens 50mm,440.57,540.12,116,Electronics,International,1,796
Tripod Carbon Fiber,490.26,710.48,34,Electronics,Midwest,1,799
Camera Bag Backpack,455.05,678.52,85,Electronics,Primary,1,760
SD Card Reader,766.95,903.01,39,Electronics,Primary,2,706
Ballpoint Pens 12pk,169.55,261.41,1205,Office Supplies,Primary,5,3268
Sticky Notes 8pk,76.04,117.88,1090,Office Supplies,East Coast,14,2534
File Folders 24pk,120.88,167.84,563,Office Supplies,International,16,2268
Printer Paper A4 5-Ream,116.54,171.82,1922,Office Supplies,Midwest,6,2019
Ink Cartridge Black XL,112.19,172.53,224,Office Supplies,East Coast,6,3101
Ink Cartridge Color Combo,91.55,117.14,734,Office Supplies,West Coast,6,2500
Desk Organizer Bamboo,52.01,76.09,1132,Office Supplies,International,13,3252
Paper Shredder Cross-Cut,95.68,153.16,1155,Office Supplies,Primary,13,3358
Laminator Machine A4,169.07,216.51,256,Office Supplies,South,7,3520
Label Maker Portable,28.83,39.47,451,Office Supplies,International,14,2416
Whiteboard Magnetic 48x36,114.53,155.58,1020,Office Supplies,Primary,12,2104
Dry Erase Markers 8pk,114.54,194.44,110,Office Supplies,East Coast,4,2683
Whiteboard Eraser,115.04,156.13,1538,Office Supplies,International,18,3129
Stapler Heavy-Duty,77.56,93.52,174,Office Supplies,Primary,8,3117
Staples 5000pk,150.39,233.03,323,Office Supplies,Primary,17,2261
Tape Dispenser Desktop,56.18,97.72,1650,Office Supplies,East Coast,5,2732
Scissors Titanium,123.09,196.96,744,Office Supplies,International,17,3271
Paper Clips 100pk,28.67,50.4,1790,Office Supplies,Midwest,9,2362
Binder Clips Assorted 24pk,5.44,8.93,700,Office Supplies,International,17,3371
Rubber Bands 1lb,146.12,198.74,1632,Office Supplies,Primary,7,2783
Envelopes White 100pk,154.69,206.27,1692,Office Supplies,West Coast,18,2716
Notebooks College-Ruled 6pk,147.88,254.77,476,Office Supplies,East Coast,4,3351
Daily Planner 2024,72.33,98.89,162,Office Supplies,International,12,2719
Scientific Calculator,92.18,148.2,1747,Office Supplies,Primary,14,2056
Ruler Metal 12in,157.99,214.35,1209,Office Supplies,Primary,12,2078
3-Hole Punch,107.79,151.7,1630,Office Supplies,South,14,2893
Letter Tray Stackable,177.18,224.91,1862,Office Supplies,Primary,10,2521
Magazine Rack Wire,127.87,153.57,1915,Office Supplies,Midwest,10,2745
Bulletin Board Cork 36x24,13.53,21.63,696,Office Supplies,Primary,14,3358
Push Pins Colored 100pk,129.84,179.2,653,Office Supplies,Midwest,17,2668
Correction Tape 3pk,125.8,192.81,412,Office Supplies,Midwest,17,3361
Glue Sticks Washable 6pk,122.24,212.9,1280,Office Supplies,South,13,2831
Index Cards Ruled 200pk,150.24,207.68,450,Office Supplies,South,17,3187
Graph Paper Pad 4x4,118.19,174.8,925,Office Supplies,Midwest,10,3046
Legal Pads Yellow 3pk,143.08,254.1,1527,Office Supplies,Primary,9,3349
Presentation Folders 25pk,51.8,82.79,1288,Office Supplies,East Coast,14,2191
Sheet Protectors 50pk,121.43,162.08,427,Office Supplies,Primary,8,2050
Report Covers Prong 12pk,44.83,66.58,1760,Office Supplies,Midwest,6,2932
Clipboard Letter-Size,159.62,246.68,1491,Office Supplies,Midwest,16,3012
Pen Holder Mesh,44.67,71.19,31,Office Supplies,Midwest,7,3594
Ergonomic Office Chair,333.72,447.6,91,Furniture,South,2,106
Electric Standing Desk,375.16,508.15,60,Furniture,International,1,159
L-Shaped Corner Desk,760.0,963.43,42,Furniture,International,2,178
5-Tier Bookshelf,1252.61,1538.23,72,Furniture,International,2,120
3-Drawer Filing Cabinet,1210.94,1495.54,98,Furniture,South,1,135
Conference Table 8-seat,696.47,816.11,58,Furniture,East Coast,1,136
Guest Chair Padded,405.89,485.41,71,Furniture,East Coast,1,117
Desk Lamp Architect,350.67,458.74,92,Furniture,Midwest,1,108
Chair Floor Mat 48x36,591.37,746.77,55,Furniture,Midwest,1,126
Monitor Riser Wood,566.64,754.16,91,Furniture,Midwest,1,173
Storage Cabinet Locking,686.08,948.73,40,Furniture,South,2,153
Coat Rack Standing,1055.36,1333.81,79,Furniture,East Coast,1,162
Waste Basket Metal,407.56,507.69,51,Furniture,International,2,151
Under-Desk Drawer Unit,260.29,322.82,18,Furniture,South,1,150
Computer Desk Compact,805.4,892.49,84,Furniture,Midwest,2,117
Gaming Chair Racing,283.06,333.46,43,Furniture,West Coast,1,158
Recliner Leather,495.69,676.07,37,Furniture,Primary,2,132
3-Seat Sofa Fabric,676.97,896.79,8,Furniture,International,2,128
Coffee Table Glass,128.66,178.48,7,Furniture,East Coast,1,131
Side Table Round,1180.55,1518.66,32,Furniture,International,1,160
TV Stand 65in,191.14,264.6,61,Furniture,East Coast,2,147
Shoe Rack 4-Tier,862.04,1197.48,93,Furniture,West Coast,1,120
Wardrobe Sliding-Door,182.55,202.21,41,Furniture,International,2,150
6-Drawer Dresser,305.72,390.6,82,Furniture,International,1,113
Nightstand 2-Drawer,1089.44,1476.29,78,Furniture,Primary,1,172
Queen Bed Frame Metal,508.93,625.23,49,Furniture,International,1,164
Queen Memory Foam Mattress,500.78,678.49,64,Furniture,West Coast,1,155
Dining Table 6-seat Oak,902.57,1217.22,92,Furniture,East Coast,1,155
Dining Chair Padded 2pk,1036.63,1440.54,36,Furniture,Midwest,2,159
Bar Stool Adjustable,1162.13,1484.9,43,Furniture,West Coast,1,111
Kitchen Island Cart,1238.43,1452.88,61,Furniture,Primary,2,143
Pantry Cabinet Tall,709.73,849.9,64,Furniture,West Coast,1,145
Bathroom Vanity 36in,499.56,681.45,91,Furniture,Primary,2,171
Mirror Cabinet LED,740.2,856.65,32,Furniture,South,2,162
Laundry Hamper Bamboo,1069.89,1398.54,84,Furniture,Primary,2,157
Room Divider 4-Panel,162.02,188.99,90,Furniture,International,1,139
Accent Chair Velvet,828.82,1029.38,69,Furniture,International,2,154
Ottoman Storage,786.28,947.89,60,Furniture,West Coast,2,139
Console Table Entryway,349.68,460.31,42,Furniture,International,1,168
Storage Bench Entryway,287.73,335.18,63,Furniture,South,2,175
All-Purpose Cleaner 1gal,27.66,48.14,1640,Cleaning,West Coast,28,5931
Glass Cleaner Spray 32oz,9.72,12.22,4425,Cleaning,Primary,18,6123
Disinfectant Wipes 6pk,43.89,67.01,1084,Cleaning,Midwest,50,8557
Floor Cleaner Concentrate,6.41,8.05,2379,Cleaning,Midwest,40,6960
Bathroom Cleaner Foaming,16.65,28.85,2118,Cleaning,Primary,40,5467
Kitchen Degreaser,19.23,24.75,489,Cleaning,South,19,5611
Air Freshener Refills 3pk,42.81,55.34,2083,Cleaning,Midwest,17,7285
Microfiber Cloths 12pk,28.07,46.19,1898,Cleaning,Midwest,43,6558
Scrub Sponges 6pk,41.07,57.44,4871,Cleaning,South,37,6250
Rubber Gloves Latex 3pk,28.7,44.62,862,Cleaning,East Coast,23,7562
Trash Bags 13gal 50pk,13.38,17.27,2014,Cleaning,Primary,21,7260
Paper Towels 12-Roll,8.73,12.7,4914,Cleaning,Primary,40,6192
Toilet Paper 24-Roll,11.95,19.16,3769,Cleaning,East Coast,14,7815
Hand Soap Refill 1gal,41.73,68.6,4881,Cleaning,Primary,22,6741
Hand Sanitizer Pump 32oz,25.42,40.01,2226,Cleaning,Primary,19,5292
Spin Mop System,9.13,12.82,4712,Cleaning,Primary,28,6798
Angle Broom,22.15,31.06,3347,Cleaning,South,27,7049
Dustpan Combo,23.23,29.97,376,Cleaning,West Coast,37,8008
Vacuum Bags 6pk,27.96,35.31,1925,Cleaning,Primary,46,7404
Dish Soap Lemon 32oz,44.98,71.34,2257,Cleaning,East Coast,46,5164
Dishwasher Pods 60pk,22.23,35.03,2328,Cleaning,Midwest,21,7397
Laundry Detergent 100oz,29.3,43.83,797,Cleaning,Midwest,40,6425
Fabric Softener Sheets 240ct,16.33,25.88,1367,Cleaning,International,31,6686
Stain Remover Spray,23.31,36.86,3330,Cleaning,Midwest,45,5150
Bleach Concentrate 1gal,5.79,7.97,999,Cleaning,South,35,8542
Extendable Duster 10ft,37.47,46.86,4494,Cleaning,Primary,39,6692
Window Squeegee 12in,10.07,14.41,4133,Cleaning,Primary,50,6810
Toilet Brush Set,10.75,16.39,2409,Cleaning,International,38,8607
Heavy-Duty Plunger,22.84,28.88,2010,Cleaning,South,20,6272
Drain Cleaner Gel 32oz,2.59,3.77,1890,Cleaning,Primary,17,6890
Lint Roller Mega 4pk,29.85,39.61,2440,Cleaning,West Coast,42,7889
Carpet Cleaner Shampoo,19.87,29.63,3918,Cleaning,South,25,6870
Wood Polish Spray,8.22,11.06,4960,Cleaning,East Coast,42,8056
Stainless Steel Cleaner,39.15,54.35,3449,Cleaning,South,31,8826
Oven Cleaner Heavy-Duty,13.49,16.88,2495,Cleaning,International,47,7375
Grout Cleaner Brush Set,23.05,30.53,4462,Cleaning,West Coast,40,6413
First Aid Kit 200-Piece,139.32,186.72,476,Safety,International,7,1193
Fire Extinguisher ABC 5lb,61.98,79.58,886,Safety,West Coast,8,1044
Safety Goggles Anti-Fog,186.94,261.12,840,Safety,International,8,1395
Work Gloves Leather 12pk,198.72,273.88,165,Safety,East Coast,9,1037
Hard Hat OSHA-Compliant,127.07,172.38,900,Safety,Primary,3,1450
Safety Vest Hi-Vis 10pk,132.91,174.1,749,Safety,International,4,1419
Ear Plugs NRR32 50pk,242.58,285.32,810,Safety,South,6,1346
N95 Dust Masks 50pk,174.1,239.81,882,Safety,South,7,1690
Face Shields Anti-Fog 5pk,96.86,122.12,745,Safety,Primary,9,1554
Steel-Toe Work Boots,155.51,191.61,710,Safety,International,6,1232
Knee Pads Gel-Insert,25.32,37.79,788,Safety,East Coast,3,1454
Back Support Belt Large,174.42,255.73,57,Safety,West Coast,7,1057
Anti-Fatigue Mat 3x5ft,91.54,119.07,260,Safety,South,10,1421
Wet Floor Sign Bilingual,171.4,207.91,189,Safety,Midwest,3,1624
Traffic Cone 28in,156.07,192.64,944,Safety,Midwest,4,1237
Fire Blanket 4x6ft,160.56,210.47,692,Safety,West Coast,2,1476
Smoke Detector 10-Year,170.37,205.35,462,Safety,West Coast,7,1601
CO Detector Digital,160.82,208.83,266,Safety,East Coast,9,1309
Emergency Kit 72-Hour,249.85,361.95,119,Safety,South,5,1390
Heavy-Duty Flashlight,91.66,114.9,726,Safety,International,6,1022
AA Batteries 24pk,100.76,116.16,895,Safety,International,2,1620
AAA Batteries 24pk,125.69,184.32,303,Safety,West Coast,5,1621
Extension Cord 25ft 12AWG,57.09,69.45,266,Safety,Primary,4,1643
Power Strip 6-Outlet USB,226.14,311.22,326,Safety,South,9,1034
Cable Protector Ramp,93.12,111.37,941,Safety,International,6,1334
Lockout Tagout Kit,105.63,128.9,815,Safety,South,10,1374
Hazmat Spill Kit 5gal,126.94,158.09,178,Safety,West Coast,6,1493
Eye Wash Station Wall,187.4,237.73,127,Safety,East Coast,9,1077
Flammable Storage Cabinet,189.28,232.62,702,Safety,West Coast,8,1570
4-Gas Detector Meter,25.3,32.59,280,Safety,Midwest,10,1126
Small Box 8x8x8 25pk,33.8,50.69,4395,Packaging,International,94,13121
Medium Box 12x12x12 25pk,84.69,105.3,3930,Packaging,South,80,10205
Large Box 18x18x18 15pk,79.7,113.54,3726,Packaging,Midwest,28,15205
Bubble Wrap Roll 175ft,81.94,108.23,6789,Packaging,Primary,34,11145
Packing Peanuts 14cu ft,85.22,112.64,8171,Packaging,East Coast,34,10796
Shipping Tape Clear 6pk,79.97,100.3,7532,Packaging,International,67,15492
Shipping Labels 4x6 500ct,62.99,89.2,9722,Packaging,Midwest,39,17253
Poly Mailers 10x13 100pk,59.29,90.92,6786,Packaging,International,55,10268
Stretch Wrap 18in 1000ft,33.98,46.8,3968,Packaging,International,66,10813
Kraft Packing Paper 25lb,33.69,52.58,5976,Packaging,West Coast,27,13261
Foam Sheets 12x12 50pk,17.89,22.34,7550,Packaging,East Coast,31,15429
Strapping Tape 2in 6pk,58.11,83.61,449,Packaging,West Coast,26,16445
Pallet Wrap 80ga 1500ft,22.68,28.36,9350,Packaging,South,46,10562
Air Pillow Film Roll,19.44,25.01,3917,Packaging,East Coast,62,16343
Tissue Paper White 100pk,71.19,102.4,4642,Packaging,South,38,11064
Gift Boxes Assorted 12pk,23.31,29.6,522,Packaging,West Coast,36,10121
Satin Ribbon Roll 50yd,71.31,92.36,5404,Packaging,West Coast,22,11427
Gift Bags Medium 24pk,5.66,8.47,8719,Packaging,Primary,34,16108
Kraft Paper Roll 36in x 200ft,43.39,65.57,8508,Packaging,Midwest,95,10893
Corrugated Roll 48in x 100ft,45.84,72.34,810,Packaging,Midwest,86,12470
