Product Name,Order Date,Quantity,Region
USB-C Hub Lite+,2025-06-30,25,Middle East
Report Covers Prong 12pk Advanced,2025-09-06,25,Africa
WiFi Router AX Elite,2025-12-01,20,Africa
Fabric Softener Sheets 240ct Premium,2025-10-18,10,North America
Memory Card 256GB Advanced,2026-02-10,15,North America
Push Pins Colored 100pk Premium,2025-10-12,20,Asia Pacific
Bathroom Vanity 36in Basic,2025-07-15,20,Latin America
Rubber Gloves Latex 3pk Lite+,2025-06-05,25,Africa
Clipboard Letter-Size Advanced,2026-02-21,5,Middle East
Stain Remover Spray XL,2025-09-12,1,North America
Work Gloves Leather 12pk V2,2026-04-02,2,Middle East
Toilet Brush Set Advanced,2026-01-05,25,Asia Pacific
Toilet Paper 24-Roll Premium,2025-06-27,15,Africa
External HDD 2TB Mini,2026-03-25,1,North America
Camera Lens 50mm V3,2026-03-17,25,North America
Rubber Bands 1lb Standard,2026-01-05,3,Europe
Steel-Toe Work Boots V2,2025-06-05,15,Middle East
Motherboard ATX Standard,2026-02-04,5,Africa
Medium Box 12x12x12 25pk Pro,2026-03-20,5,Middle East
Strapping Tape 2in 6pk Max,2025-12-25,5,Europe
N95 Dust Masks 50pk Premium,2025-11-02,2,Latin America
Nightstand 2-Drawer Max,2025-07-15,25,Asia Pacific
Kitchen Island Cart Ultra,2025-12-23,20,Middle East
Monitor Arm Single Mini,2026-05-09,25,North America
Steel-Toe Work Boots Lite,2025-07-24,50,Africa
Paper Shredder Cross-Cut Basic,2025-12-11,2,North America
PLA Lids 12oz 100pk Basic,2025-11-21,25,Middle East
Dried Fruit Mix 3lb Pro,2025-10-09,3,Europe
Glue Sticks Washable 6pk Lite+,2026-04-29,5,Latin America
Coffee Creamer Singles 100pk HD,2025-12-16,15,Middle East
Envelopes White 100pk Lite+,2026-05-24,3,Latin America
Electrolyte Mix 30pk Lemon Mini,2026-03-24,5,Latin America
Tissue Paper White 100pk Eco,2026-02-27,10,Asia Pacific
Gaming Chair Racing Compact,2025-09-11,50,Africa
Queen Bed Frame Metal Plus,2025-05-30,20,Africa
Stapler Heavy-Duty Basic,2026-02-13,25,North America
Creamy Peanut Butter 40oz Lite+,2026-01-06,25,Africa
Envelopes White 100pk V2,2025-09-17,15,North America
File Folders 24pk Ultra,2025-06-20,1,Asia Pacific
Gaming Chair Racing Lite,2025-06-08,25,Africa
Streaming Deck MK2 Lite,2026-04-25,25,Middle East
Microfiber Cloths 12pk Advanced,2025-07-10,10,Asia Pacific
Bleach Concentrate 1gal Lite+,2026-04-29,3,Africa
Ring Light 18in XL,2026-01-16,50,Middle East
Queen Bed Frame Metal HD,2026-03-03,10,Asia Pacific
Tablet 10 inch Lite,2026-01-31,25,Middle East
3-Drawer Filing Cabinet Mini,2026-02-14,20,Latin America
Digital Camera Mirrorless HD,2026-05-03,10,Asia Pacific
Gift Bags Medium 24pk Elite,2025-11-07,25,North America
Penne Pasta 6pk 1lb Ultra,2025-08-27,50,North America
Mirror Cabinet LED Elite,2026-04-25,50,Europe
Glass Cleaner Spray 32oz Elite,2025-09-21,25,Africa
Ruler Metal 12in V3,2025-12-29,25,Latin America
Microfiber Cloths 12pk Compact,2025-08-01,20,Latin America
Whiteboard Magnetic 48x36 Plus,2025-09-06,10,Asia Pacific
Ink Cartridge Black XL Pro,2026-03-26,25,Europe
Dried Fruit Mix 3lb Advanced,2026-01-25,2,Africa
Laptop Sleeve 15in Max,2025-09-05,2,Asia Pacific
Cable Protector Ramp Advanced,2025-09-18,15,Asia Pacific
USB-C Hub Max,2026-02-09,15,Asia Pacific
Shipping Labels 4x6 500ct Compact,2025-07-09,15,Asia Pacific
Chicken Noodle Soup 6pk Premium,2025-10-17,100,Latin America
Phone Charger 65W Elite,2026-05-14,25,Middle East
Organic Granola 2lb Lite+,2026-04-28,25,Latin America
Envelopes White 100pk Eco,2026-05-01,10,Africa
Ink Cartridge Black XL Elite,2025-11-19,15,Europe
Earl Grey Tea 200ct,2026-05-19,2,Latin America
Pantry Cabinet Tall Eco,2026-04-06,10,North America
Bluetooth Speaker Basic,2025-09-30,3,Asia Pacific
Kitchen Island Cart HD,2026-03-01,2,Africa
Tablet 10 inch Compact,2025-08-08,50,Asia Pacific
Stainless Steel Cleaner Standard,2025-10-12,3,Asia Pacific
Traffic Cone 28in Standard,2025-11-23,15,Asia Pacific
Keyboard Wrist Rest HD,2025-07-03,3,Asia Pacific
Desk Organizer Bamboo Ultra,2026-04-06,25,Latin America
Paper Towels 12-Roll V3,2025-07-09,50,Asia Pacific
Daily Planner 2024 Lite+,2025-12-16,3,Africa
5-Tier Bookshelf Premium,2025-12-23,3,Africa
Creamy Peanut Butter 40oz Advanced,2026-02-08,25,Asia Pacific
Screen Protector Glass HD,2025-09-13,3,Europe
Hazmat Spill Kit 5gal,2026-02-24,3,North America
Phone Case Silicone Pro,2026-04-22,1,Latin America
Ear Plugs NRR32 50pk Pro,2025-08-10,20,North America
Capture Card 4K Premium,2026-03-08,20,Asia Pacific
Digital Camera Mirrorless Advanced,2025-05-29,1,Africa
Floor Cleaner Concentrate Max,2026-01-07,50,Latin America
Wood Stirrers 1000pk V2,2026-05-05,100,Latin America
Extra Virgin Olive Oil 1L Lite,2026-01-31,25,Europe
Chair Floor Mat 48x36 Ultra,2026-05-12,1,Middle East
Cocktail Napkins 500pk Plus,2026-03-08,2,Africa
Wireless Mouse Ultra,2025-12-05,20,Africa
Foam Sheets 12x12 50pk Standard,2025-07-15,5,Europe
Penne Pasta 6pk 1lb Elite,2025-11-19,1,Latin America
UPS Battery 1500VA Bulk,2025-12-03,1,Latin America
Window Squeegee 12in Max,2025-08-12,20,Africa
AAA Batteries 24pk Standard,2025-06-19,15,Middle East
Laminator Machine A4 Advanced,2026-01-20,10,Africa
Drain Cleaner Gel 32oz Bulk,2026-03-26,5,Latin America
Notebooks College-Ruled 6pk Mini,2025-08-05,10,North America
Gaming Chair Racing Plus,2026-05-16,1,Africa
Carpet Cleaner Shampoo Standard,2026-05-13,50,Middle East
Side Table Round Compact,2025-09-20,20,Africa
Laptop Sleeve 15in HD,2025-12-28,1,Latin America
Extension Cord 25ft 12AWG XL,2026-01-24,3,North America
Smoke Detector 10-Year Bulk,2025-11-25,2,Africa
Creamy Peanut Butter 40oz V2,2025-10-03,15,North America
Sea Salt & Pepper Set Basic,2025-11-18,25,Middle East
Envelopes White 100pk Smart,2026-02-27,100,Latin America
Wood Stirrers 1000pk,2025-12-08,50,Latin America
Wet Floor Sign Bilingual Premium,2026-01-30,2,Asia Pacific
Room Divider 4-Panel Smart,2026-02-10,10,Europe
Chicken Noodle Soup 6pk Premium,2026-05-13,25,North America
Paper Plates 9in 100pk Lite,2026-01-03,5,North America
Camera Bag Backpack Lite,2025-06-13,1,Latin America
Streaming Deck MK2 Smart,2026-03-04,3,Europe
