Supplier Name,Contact Email,Phone,Address,City,Country
Acme Electronics Co.,contact@acmeelectr.com,+1-555-754-2824,509 Commerce Ave,Houston,China
Global Parts Ltd.,contact@globalpart.com,+1-555-242-2679,9035 Main Dr,New York,Taiwan
NexGen Components,contact@nexgencomp.com,+1-555-130-2535,3682 Industrial St,Berlin,South Korea
Pacific Trading Inc.,contact@pacifictra.com,+1-555-303-9928,6973 Industrial Dr,Milan,Japan
Continental Supply Co.,contact@continenta.com,+1-555-384-1106,2715 Business Blvd,Shanghai,Germany
Euro Furniture GmbH,contact@eurofurnit.com,+1-555-259-4527,5614 Main St,Seoul,Italy
Scandinavian Design AB,contact@scandinavi.com,+1-555-199-6881,5735 Commerce St,Toronto,Sweden
CleanPro Industries,contact@cleanproin.com,+1-555-570-9785,2145 Business St,Berlin,USA
SafeGuard Manufacturing,contact@safeguardm.com,+1-555-400-6925,9559 Industrial St,New York,USA
PackRight Solutions,contact@packrights.com,+1-555-777-4733,4841 Main Ave,Los Angeles,China
FreshSource Distributors,contact@freshsourc.com,+1-555-489-5554,7528 Commerce Ave,Taipei,Brazil
Quality Foods International,contact@qualityfoo.com,+1-555-463-4432,4474 Main Ave,Berlin,India
TechParts Direct,contact@techpartsd.com,+1-555-846-5010,2777 Business Dr,Shanghai,Vietnam
OfficeWorld Supply,contact@officeworl.com,+1-555-755-4598,5413 Main Ave,New York,UK
HomeStyle Furniture,contact@homestylef.com,+1-555-924-6168,6672 Commerce St,Houston,Poland
EcoClean Products,contact@ecocleanpr.com,+1-555-680-6155,3583 Business Dr,London,Canada
Industrial Safety Corp.,contact@industrial.com,+1-555-569-3340,4439 Industrial Ave,Toronto,Germany
GreenPack Eco,contact@greenpacke.com,+1-555-674-9830,4404 Business Dr,Taipei,Netherlands
Asia Trade Partners,contact@asiatradep.com,+1-555-324-3266,8448 Business St,New York,Singapore
Midwest Supply Hub,contact@midwestsup.com,+1-555-981-2796,2604 Industrial Dr,Milan,USA
