Product Name,Category,Unit Cost,Selling Price,Current Stock,Min Stock,Max Stock,Warehouse,Supplier,Reliability,Lead Time,Shipment Expected,Shipment Actual,Shipment Cost,Order Qty,Order Date,Region
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,2,2026-02-01,APAC
Aluminum Rod,Raw Materials,18.0,32.0,,,,,Delta Materials,,,2025-09-24,2025-09-25,404.64,,,
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,4,2025-09-09,US
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,34,2025-11-04,LATAM
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-09-09,EU
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,3,2025-11-12,LATAM
Connector Set,Parts,4.2,11.99,,,,,,,,,,,6,2025-09-01,MEA
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,1,2026-02-26,EU
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,2,2026-05-09,US
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,24,2025-10-01,LATAM
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,13,2026-01-14,EU
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,2,2025-10-09,LATAM
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,2,2025-06-20,EU
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,4,2025-09-25,MEA
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,6,2026-01-15,MEA
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,8,2025-09-15,US
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,11,2025-11-29,US
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-11-18,US
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,1,2026-03-28,APAC
Gear Set,Parts,14.0,28.0,,,,,,,,,,,2,2025-10-05,LATAM
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2026-03-05,MEA
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,7,2026-05-07,US
Gear Set,Parts,14.0,28.0,,,,,,,,,,,2,2026-01-20,MEA
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,20,2026-03-20,MEA
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,2,2025-12-02,EU
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,1,2026-02-03,EU
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,4,2025-06-19,LATAM
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2025-11-01,APAC
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,1,2025-09-19,LATAM
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,1,2026-02-21,EU
Gear Set,Parts,14.0,28.0,,,,,,,,,,,2,2026-05-11,EU
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2026-03-23,US
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,19,2025-05-25,APAC
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,3,2026-04-13,LATAM
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,10,2025-12-05,MEA
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,7,2025-08-29,LATAM
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,1,2025-12-22,LATAM
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,5,2025-10-21,LATAM
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,23,2026-04-17,US
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2025-06-21,MEA
